Statistical Population,True Prevalence,New Clinical Cases,Infectious Vectors,Rainfall,Air Temperature,Time,Day,Year,date,Run_Number
1997,0.8983474969864,26,0.1722061932087,0.006074102129787,31.84932136536,126,126,2022,2022-05-06,0
1995,0.9012531042099,25,0.1718461662531,1.185417294502,30.83325576782,127,127,2022,2022-05-07,0
1994,0.9072216749191,23,0.1717016547918,11.68068313599,31.55359840393,128,128,2022,2022-05-08,0
1995,0.910776913166,21,0.1577439904213,0.881025493145,31.121717453,129,129,2022,2022-05-09,0
1995,0.9142857193947,16,0.1551491171122,3.335701227188,28.25374221802,130,130,2022,2022-05-10,0
1995,0.9157894849777,16,0.1554894894361,0.5091550350189,31.00359344482,131,131,2022,2022-05-11,0
1995,0.9187970161438,14,0.1681418567896,0.8931350111961,31.8015499115,132,132,2022,2022-05-12,0
1996,0.9193387031555,12,0.1674915403128,0.9171619415283,30.96935272217,133,133,2022,2022-05-13,0
1997,0.9203805923462,9,0.1692654490471,0.05569447577,33.06479263306,134,134,2022,2022-05-14,0
1998,0.9244244098663,16,0.1837825328112,7.979727989493e-14,33.48285675049,135,135,2022,2022-05-15,0
1998,0.9249249100685,9,0.1844014674425,0.006309067830443,30.98238182068,136,136,2022,2022-05-16,0
1997,0.9268903136253,7,0.1713241189718,0.004966897889972,32.83436203003,137,137,2022,2022-05-17,0
1997,0.928893327713,6,0.1735689938068,0.05068415403366,32.43135070801,138,138,2022,2022-05-18,0
1997,0.9323986172676,10,0.1740726679564,3.609854459763,31.18152809143,139,139,2022,2022-05-19,0
1997,0.9364045858383,10,0.1702486276627,0.491244584322,31.72653388977,140,140,2022,2022-05-20,0
1998,0.937437415123,9,0.1637940555811,0.5602261424065,28.73386955261,141,141,2022,2022-05-21,0
1998,0.9399399161339,6,0.1716323941946,0.6214812397957,30.99018669128,142,142,2022,2022-05-22,0
1998,0.9409409165382,3,0.1651433110237,0.09819657355547,32.66303634644,143,143,2022,2022-05-23,0
1999,0.9424712061882,3,0.1690115481615,0.0135749829933,32.83841705322,144,144,2022,2022-05-24,0
1999,0.9444722533226,4,0.1847414672375,1.028229475021,31.19706344604,145,145,2022,2022-05-25,0
1999,0.9449725151062,5,0.1825542747974,0.524512887001,30.72775268555,146,146,2022,2022-05-26,0
1998,0.94594591856,6,0.1837215572596,1.874320745468,28.81474494934,147,147,2022,2022-05-27,0
1997,0.9469203948975,3,0.1953827142715,0.1346605122089,31.38849258423,148,148,2022,2022-05-28,0
